日期,活动分数,步数,卡路里(千卡),非活动时间(小时),行走等效距离(km)
2026-01-02,90,0,3658,0.0,32.03
2026-01-03,94,0,2889,0.0,18.592
2026-01-04,85,0,2246,0.0,5.724
2026-01-05,83,0,2326,0.0,7.139
2026-01-06,85,0,2233,0.0,4.35
2026-01-07,85,0,2516,0.0,10.153
2026-01-08,90,0,2483,0.0,11.286
2026-01-09,81,0,2278,0.0,6.2
2026-01-10,86,0,2619,0.0,13.074
2026-01-11,85,0,2826,0.0,16.837
2026-01-12,85,0,2396,0.0,8.359
2026-01-13,93,0,2777,0.0,15.379
2026-01-14,98,0,2941,0.0,18.293
2026-01-15,94,0,1855,0.0,1.214
2026-01-16,94,0,2198,0.0,6.215
2026-01-17,94,0,3210,0.0,24.457
2026-01-18,93,0,2894,0.0,18.619
2026-01-19,94,0,1883,0.0,0.947
2026-01-20,89,0,2243,0.0,7.429
2026-01-21,84,0,2248,0.0,6.418
2026-01-22,89,0,2807,0.0,16.151
2026-01-23,88,0,2197,0.0,5.46
2026-01-24,85,0,2349,0.0,9.094
2026-01-25,86,0,2743,0.0,16.443
2026-01-26,90,0,2613,0.0,13.028
2026-01-27,93,0,2903,0.0,17.923
2026-01-28,92,0,2372,0.0,8.246
2026-01-29,90,0,1947,0.0,2.075
2026-01-30,93,0,2702,0.0,13.729
2026-01-31,94,0,1798,0.0,1.329
