id,contributors_deep_sleep,contributors_efficiency,contributors_latency,contributors_rem_sleep,contributors_restfulness,contributors_timing,contributors_total_sleep,day,score,timestamp
e8005f56-5243-4087-b8aa-4822b6499db2,83,86,83,71,62,59,59,2026-01-01,68,2026-01-01T00:00:00.000+00:00
845ff3ee-d440-4c60-b272-65aabecbd5ed,71,95,75,96,81,20,74,2026-01-02,74,2026-01-02T00:00:00.000+00:00
e7f911bf-c610-4917-8e17-dba21196996a,95,98,83,96,67,13,99,2026-01-03,83,2026-01-03T00:00:00.000+00:00
15851b86-cac2-4dfa-999e-5039695836e7,96,79,67,98,73,24,75,2026-01-04,74,2026-01-04T00:00:00.000+00:00
710ed1f7-1a0a-4f2e-b34d-b31cc582ceed,97,98,67,96,91,67,83,2026-01-05,85,2026-01-05T00:00:00.000+00:00
e9184d38-8664-4fc4-9455-0648c08b9bc8,95,79,81,42,84,64,52,2026-01-06,67,2026-01-06T00:00:00.000+00:00
7f2e4a57-fc75-47a7-92d8-3ea7e4f5f9a3,96,86,86,95,74,57,70,2026-01-07,78,2026-01-07T00:00:00.000+00:00
8d82899d-c2c8-4c31-bfd2-2a694ff51306,92,69,86,78,64,37,87,2026-01-08,76,2026-01-08T00:00:00.000+00:00
e446a94d-6a4d-4257-8730-2eb7f55dd181,95,79,78,95,55,47,75,2026-01-09,74,2026-01-09T00:00:00.000+00:00
da2172fa-20cd-4d19-b63c-6a9bd6a7d9aa,95,62,81,90,76,47,85,2026-01-10,79,2026-01-10T00:00:00.000+00:00
5ba1fc20-2b0e-4402-b80c-dedde4bbbd90,96,99,75,95,76,53,76,2026-01-11,80,2026-01-11T00:00:00.000+00:00
d6e178d6-9869-46c0-b059-7c3f0d0b97b5,96,100,70,93,80,59,77,2026-01-12,81,2026-01-12T00:00:00.000+00:00
9462422e-9ea2-462e-b755-8a8135ef0eb2,82,34,91,76,49,55,64,2026-01-13,64,2026-01-13T00:00:00.000+00:00
d893e82d-eca3-4f44-8c51-fc505d22cbba,96,98,67,96,79,48,76,2026-01-14,79,2026-01-14T00:00:00.000+00:00
1be81345-d5c9-4565-b501-9a92143b8b26,97,65,83,97,51,21,90,2026-01-15,76,2026-01-15T00:00:00.000+00:00
53f6376c-6698-45e8-beca-9dd8f0d861d2,95,90,67,64,59,87,54,2026-01-16,68,2026-01-16T00:00:00.000+00:00
9b0bbbd2-487b-4c72-9b20-4d29c5c9b6a0,96,98,67,94,80,15,75,2026-01-17,75,2026-01-17T00:00:00.000+00:00
172d1138-d6c6-4339-b84f-819a38c0a5ea,96,93,67,85,85,23,87,2026-01-18,80,2026-01-18T00:00:00.000+00:00
ae2b9ea1-62f3-4d15-9fa9-17ede902d953,95,72,91,95,74,45,75,2026-01-19,77,2026-01-19T00:00:00.000+00:00
e5128776-3da2-4e3b-9ea9-f01a3d152a9d,96,95,94,64,95,15,68,2026-01-20,75,2026-01-20T00:00:00.000+00:00
3e9c513b-0bc3-44df-9ae0-20de74d02878,96,99,78,98,72,20,97,2026-01-21,84,2026-01-21T00:00:00.000+00:00
d39de9e4-9543-46c9-a2a6-d31756695cf3,96,93,67,71,68,64,75,2026-01-22,76,2026-01-22T00:00:00.000+00:00
4751099e-b896-44b0-b7e1-a2f67876a087,96,96,83,97,72,9,80,2026-01-23,77,2026-01-23T00:00:00.000+00:00
fbbe252e-02f4-44fa-ad95-6e6f557fa1c9,97,88,70,70,72,54,64,2026-01-24,71,2026-01-24T00:00:00.000+00:00
9244e16e-e4a2-41e2-a9f3-39b191ccee3d,96,95,70,99,61,33,90,2026-01-25,80,2026-01-25T00:00:00.000+00:00
a1a5b7bb-1520-4159-bf9e-8bab86176eac,75,96,91,100,68,17,100,2026-01-26,83,2026-01-26T00:00:00.000+00:00
5eb1a48a-4641-44bb-865b-b10422202b09,95,95,70,96,72,31,87,2026-01-27,80,2026-01-27T00:00:00.000+00:00
11d1a80f-4f62-4595-8b77-0b9f0da31fcf,84,93,67,93,66,22,74,2026-01-28,72,2026-01-28T00:00:00.000+00:00
7c7001e3-9abe-4b4a-9ae7-8de5651a1dbe,93,74,67,99,73,25,96,2026-01-29,80,2026-01-29T00:00:00.000+00:00
4a4ce865-a87f-45ce-8771-cecf982eb873,83,100,64,98,80,20,93,2026-01-30,81,2026-01-30T00:00:00.000+00:00
37b54a86-f59a-44d5-8fb7-75732aca3993,96,100,75,98,89,42,86,2026-01-31,85,2026-01-31T00:00:00.000+00:00
